,0,1,2
0,i have never been asked to see my vaccination card❤️ https://t.co/jxJhdQMMCU,hannahlauck,"lou, wilmore, paris, lex"
1,"AND DONT MF FORGET TO BRING YOUR PROOF OF VACCINATION OR NEGATIVE COVID TEST!!!!!!

it’s required to get into the show!!!!!",babyyyychannn,Toke Land
2,Good! https://t.co/xXC9UjM9vV,MeidasWolverine,
3,@Jim_Jordan Because there were NO MANDATES TO BE VACCINATED TO WORK..NURSES WORKED FOR ALMOST 2YEARS WITH OUT BEING… https://t.co/fzOQQnHRqN,OldboarderNo,
4,Tonight is officially the first night I’ve been asked to show my vaccine card. A lot of the restaurants in New Jersey require vaccination.,geoffpilkington,Los Angeles
5,"Damn, it’s a sad day when a virus/vaccination takes away every liberty our forefathers gave their fortunes and thei… https://t.co/e9xiN4tacC",ButifldrmLori,
6,Did non of y’all get vaccinated as kids? Didn’t schools ask for vaccination records at some point? Imagine still no… https://t.co/z3hoQawcCj,SlowSti14,"San Bruno, CA"
7,"#SEDOL is hosting another drive thru vaccination clinic tomorrow, Saturday, October 16th from 9:00 am to 1:00 pm. N… https://t.co/DR7QA4g2gM",judithormerod,Illinois
8,"To get vaxxed or not 💉 what’s been your choice?

(Personally I’m pro vaccination but everyone has a choice. Should… https://t.co/t56eEhTBAj",ScorpWriterBae,"Decatur, GA"
9,"@POTUS Mr. President, you and your team were sworn in as the vaccination process was in its infancy.  Mr. Trump was… https://t.co/csofNhAIF0",BenjaminTraver1,"Stoughton, MA"
10,"If a cop wants to quit over vaccination, let them.",jkfecke,"Lakeville, Minnesota, USA"
11,Mayo Clinic ramps up push for staff vaccination by threatening to fire employees #rochmn #mayoclinic  https://t.co/LEND3090nX,WheresKiger,"Rochester, Minnesota"
12,"Ventura County has a pretty high vaccination rate, but it's not good enough. Presently, day over day, around 30% of… https://t.co/BSXYjl3F56",heatherwritesss,Southern California
13,"Add these #COVID19 vaccination numbers to the many reasons why I love my job: UK Faculty 97%, Staff 92%, Students 8… https://t.co/OLLg6HWSZC",AliSloneMD,
